ph,turbidity,tds,chlorine,fluoride,nitrate,coliform,temperature,symptom_diarrhea_count,symptom_vomiting_count,symptom_fever_count,symptom_abdominal_pain_count,symptom_jaundice_count,symptom_dehydration_count,symptom_fatigue_count,symptom_nausea_count,symptom_headache_count,mild_case_count,moderate_case_count,severe_case_count,critical_case_count,symptoms_list,disease_outbreak_label,symptom_abdominal_cramps_count,symptom_loss_of_appetite_count,mild_case,moderate_case,severe_case,critical_case,district_Dibrugarh,district_Jorhat,district_Kamrup Metro,district_Sonitpur,primary_water_source_Municipal tap water,primary_water_source_Pond water,primary_water_source_River water,primary_water_source_Tube well,primary_water_source_Well water
7.01,2.9,141,0.94,0.51,2,5,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
7.88,46.4,463,0.07,0.25,9,275,22.6,9,5,1,5,0,7,7,10,6,33,12,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.5,111.3,206,0.07,0.14,1,213,27.4,8,10,5,4,0,8,7,12,5,35,18,4,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.44,6.2,519,0.13,0.2,57,44,19.4,4,3,17,3,0,4,8,8,8,30,9,5,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.24,19.9,362,0.69,0.64,34,54,27.4,1,6,22,5,0,4,17,10,12,53,23,9,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
6.01,79.2,565,0.39,0.66,28,289,18.4,23,10,1,4,0,11,5,1,3,36,8,4,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
6.55,54.9,573,0.22,0.67,15,214,27.2,8,5,0,8,0,13,10,8,5,24,18,7,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
6.94,16.9,413,0.12,0.32,5,228,21.3,15,6,1,2,0,9,2,4,5,28,10,5,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.55,13.5,292,0.49,0.3,3,186,22.8,18,5,2,5,0,11,4,2,6,26,13,7,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.26,22.2,153,0.29,0.56,9,141,25.0,0,3,7,5,16,5,17,14,4,37,14,7,3,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
